Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
January,23,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4.0,_,809.98,26.822619623699016,22 Years and 1 Months,No,49.57494921489417,80.41529543900253,High_spent_Small_value_payments,312.49408867943663,Good
February,23,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",-1,,11.27,4.0,Good,809.98,31.94496005538421,,No,49.57494921489417,118.28022162236736,Low_spent_Large_value_payments,284.62916249607184,Good
March,-500,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,_,4.0,Good,809.98,28.60935202206993,22 Years and 3 Months,No,49.57494921489417,81.699521264648,Low_spent_Medium_value_payments,331.2098628537912,Good
April,23,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",5,4,6.27,4.0,Good,809.98,31.37786186958235,22 Years and 4 Months,No,49.57494921489417,199.4580743910713,Low_spent_Small_value_payments,223.45130972736783,Good
May,23,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6,,11.27,4.0,Good,809.98,24.797346908844982,22 Years and 5 Months,No,49.57494921489417,41.420153086217326,High_spent_Medium_value_payments,341.48923103222177,Good
June,23,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8,4,9.27,4.0,Good,809.98,27.26225871052017,22 Years and 6 Months,No,49.57494921489417,62.430172331195294,!@9#%8,340.4792117872438,Good
July,23,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8_,11.27,4.0,Good,809.98,22.53759303178384,22 Years and 7 Months,No,49.57494921489417,178.3440674122349,Low_spent_Small_value_payments,244.5653167062043,Good
August,23,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4.0,Good,809.98,23.93379480196552,,No,49.57494921489417,24.785216509052056,High_spent_Medium_value_payments,358.12416760938714,Standard
January,28_,_______,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,24.46403063758457,26 Years and 7 Months,No,18.816214573128885,104.291825168246,Low_spent_Small_value_payments,470.69062692529184,Standard
February,28,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,7,1,7.42,2.0,Good,605.03,38.550848433956325,26 Years and 8 Months,No,18.816214573128885,40.39123782853101,High_spent_Large_value_payments,484.5912142650067,Good
March,28,Teacher,34847.84_,3037.986666666666,2,1385,6,1,Credit-Builder Loan,3,-1,5.42,2.0,_,605.03,33.22495078663659,26 Years and 9 Months,No,18.816214573128885,58.51597569589465,High_spent_Large_value_payments,466.46647639764313,Standard
April,28,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,3_,5.42,2.0,Good,605.03,39.18265565546884,26 Years and 10 Months,No,18.816214573128885,99.30622796053305,Low_spent_Medium_value_payments,465.6762241330048,Good
May,28,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,1,6.42,2.0,Good,605.03,34.97789474709241,26 Years and 11 Months,No,18.816214573128885,130.11542024292334,Low_spent_Small_value_payments,444.8670318506144,Good
June,28,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,0,5.42,2.0,Good,605.03,33.38101020065065,27 Years and 0 Months,No,18.816214573128885,43.477190144355745,High_spent_Large_value_payments,481.505261949182,Good
July,28,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,31.131701611553307,27 Years and 1 Months,NM,18.816214573128885,70.10177420755677,High_spent_Medium_value_payments,464.8806778859809,Good
August,28,Teacher,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,32.933856293622235,27 Years and 2 Months,No,18.816214573128885,218.90434353388733,Low_spent_Small_value_payments,356.07810855965045,Good
January,34,_______,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,8,7.1,3.0,Good,1303.01,28.616734823006844,17 Years and 9 Months,No,246.9923194537421,168.413702679309,!@9#%8,1043.3159778669492,Good
February,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",13,6,7.1,3.0,Good,1303.01,41.70257342393906,17 Years and 10 Months,No,246.9923194537421,232.86038375993544,High_spent_Small_value_payments,998.8692967863226,Good
March,34,_______,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,7,11.1,,Good,1303.01,26.519815391546494,17 Years and 11 Months,No,246.9923194537421,__10000__,High_spent_Small_value_payments,715.741367403555,Good
April,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,5,9.1,3.0,_,1303.01,39.50164810812735,,No,246.9923194537421,825.2162699393922,Low_spent_Medium_value_payments,426.5134106068658,Good
May,34,_______,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",10,5,7.1,3.0,Good,1303.01,31.37614957421204,18 Years and 1 Months,No,246.9923194537421,430.9475278803298,Low_spent_Large_value_payments,810.7821526659284,Good
June,34,Engineer,143162.64,12187.22,1,5,8,967,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,39.783993458021186,18 Years and 2 Months,No,246.9923194537421,257.80809942568976,High_spent_Medium_value_payments,963.9215811205684,Good
July,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,38.068623627698585,18 Years and 3 Months,No,246.9923194537421,263.17416316163934,High_spent_Small_value_payments,968.5555173846188,Standard
August,34,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,38.37475294778511,18 Years and 4 Months,No,246.9923194537421,__10000__,High_spent_Small_value_payments,895.494583180492,Standard
January,54,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,0,6,1.99,4.0,Good,632.46,26.54422872407309,17 Years and 3 Months,No,16.415451659824875,81.22885871073616,Low_spent_Large_value_payments,433.6047729627723,Standard
February,54,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,3,1.99,4.0,Good,632.46,35.279981779008544,17 Years and 4 Months,No,16.415451659824875,124.88181990234848,Low_spent_Small_value_payments,409.9518117711599,Standard
March,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,3,9,1.99,4.0,Good,632.46,32.30116343180253,17 Years and 5 Months,NM,16.415451659824875,83.40650880252501,High_spent_Medium_value_payments,411.42712287098345,Standard
April,55,Entrepreneur,30689.89_,2612.4908333333333,2,5,4,1,Not Specified,7,6,-2.01,4.0,Good,632.46,38.132348192570056,17 Years and 6 Months,No,16.415451659824875,272.3340373956682,Low_spent_Small_value_payments,262.4995942778403,Standard
May,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,6,-1.01,4.0,Good,632.46,41.15431654696947,17 Years and 7 Months,No,16.415451659824875,__10000__,Low_spent_Large_value_payments,359.37491550776383,Standard
June,55,_______,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,6,-3.01,4.0,_,632.46,27.4454217928553,17 Years and 8 Months,No,16.415451659824875,84.95284817115969,High_spent_Small_value_payments,419.8807835023488,Standard
July,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,5,,1.99,4.0,Good,632.46,26.05639527857161,17 Years and 9 Months,No,16.415451659824875,71.28367488286933,Low_spent_Large_value_payments,443.5499567906391,Standard
August,55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,-100,Not Specified,4,9,1.99,4.0,Good,632.46,27.332514927554215,17 Years and 10 Months,No,16.415451659824875,125.61725053231268,High_spent_Small_value_payments,379.21638114119577,Standard
January,21,Developer,35547.71_,2853.3091666666664,7,5,5,0,,5,,2.58,4.0,Standard,943.86,39.797764231999174,30 Years and 8 Months,Yes,0.0,276.72539431736266,!@9#%8,288.60552234930395,Standard
February,21,Developer,35547.71,,7,5,5,0,,9,,2.58,4.0,Standard,943.86,27.02036025389693,30 Years and 9 Months,NM,0.0,74.44364104999623,High_spent_Medium_value_payments,460.8872756166704,Standard
March,21,Developer,35547.71,2853.3091666666664,7,5,5,-100,,5,12,2.58,4.0,Standard,943.86,23.462303036448013,30 Years and 10 Months,Yes,0.0,173.13865100158367,Low_spent_Medium_value_payments,392.1922656650829,Standard
April,21,Developer,35547.71,2853.3091666666664,7,5,5,0,,1,15,2.58,4.0,_,943.86,28.924953778098622,30 Years and 11 Months,Yes,0.0,96.78548508587444,High_spent_Medium_value_payments,438.5454315807922,Standard
May,21,Developer,35547.71,2853.3091666666664,7,5,5,0,,9,17,2.58,4.0,_,943.86,41.77618715055719,31 Years and 0 Months,Yes,0.0,62.72327834435009,High_spent_Small_value_payments,482.6076383223166,Standard
June,21,Developer,35547.71,,7,5,5,0_,,5,15,2.58,4.0,Standard,943.86,29.217556326688413,31 Years and 1 Months,Yes,0.0,37.64363788963997,High_spent_Medium_value_payments,497.6872787770267,Standard
July,21,Developer,35547.71,2853.3091666666664,7,5,5,0,,10,15,2.58,4.0,Standard,943.86,26.263822692130155,31 Years and 2 Months,Yes,0.0,181.0119827315892,Low_spent_Small_value_payments,394.31893393507744,Standard
August,21,Developer,35547.71,2853.3091666666664,7,5,5,-100,,1,15,2.58,4.0,Standard,943.86,25.86292247432155,31 Years and 3 Months,Yes,0.0,181.33090096186916,High_spent_Small_value_payments,364.00001570479753,Standard
January,31,Lawyer,73928.46,,4,1288,8,0,,12,10,10.14,2.0,Good,548.2,39.96268501363903,,No,15015.0,98.67440994166124,High_spent_Large_value_payments,740.1960900583389,Good
February,31,_______,73928.46,5988.705000000001,4,5,8,0,,8,7,10.14,2.0,Good,548.2,42.76986440325711,32 Years and 0 Months,NM,0.0,172.93921446875606,Low_spent_Medium_value_payments,705.931285531244,Good
March,31,Lawyer,73928.46,5988.705000000001,4,5,8,0,,8,7,10.14,2.0,Good,548.2,40.7121865299296,,No,0.0,150.05973429800815,High_spent_Medium_value_payments,698.8107657019921,Good
April,31,Lawyer,73928.46,5988.705000000001,4,5,8,0,,8,7,10.14,2.0,Good,548.2,30.201657705809275,32 Years and 2 Months,No,0.0,618.2023912505837,Low_spent_Small_value_payments,270.66810874941655,Good
May,31,Lawyer,73928.46,5988.705000000001,4,5,5318,0,,11,7,10.14,2.0,_,548.2,26.333310426871012,32 Years and 3 Months,No,0.0,177.95183568608738,Low_spent_Large_value_payments,690.9186643139128,Good
June,31,Lawyer,73928.46,5988.705000000001,4,5,8,0,,7,7,10.14,2.0,Good,548.2,35.2754365244368,,No,15515.0,235.79032503182026,Low_spent_Large_value_payments,633.0801749681799,Good
July,31,Lawyer,73928.46,5988.705000000001,4,5,8,0,,8,4,9.14,2.0,_,548.2,36.62479126183763,32 Years and 5 Months,No,0.0,348.5093995125948,High_spent_Small_value_payments,510.36110048740534,Standard
August,31,Lawyer,73928.46,5988.705000000001,4,5,8,0,,8,7,10.14,,Good,548.2,31.58098966831768,32 Years and 6 Months,No,0.0,42.63559025189578,!@9#%8,796.2349097481042,Good
